Problem size: 11962
Problem[
Clause[~occupies(9, 9, 9), ~occupies(9, 8, 9)]
Clause[~occupies(9, 9, 9), ~occupies(9, 7, 9)]
Clause[~occupies(9, 8, 9), ~occupies(9, 7, 9)]
Clause[~occupies(9, 9, 9), ~occupies(8, 9, 9)]
Clause[~occupies(9, 8, 9), ~occupies(8, 9, 9)]
Clause[~occupies(9, 7, 9), ~occupies(8, 9, 9)]
Clause[~occupies(9, 9, 9), ~occupies(8, 8, 9)]
Clause[~occupies(9, 8, 9), ~occupies(8, 8, 9)]
Clause[~occupies(9, 7, 9), ~occupies(8, 8, 9)]
Clause[~occupies(8, 9, 9), ~occupies(8, 8, 9)]
Clause[~occupies(9, 9, 9), ~occupies(8, 7, 9)]
Clause[~occupies(9, 8, 9), ~occupies(8, 7, 9)]
Clause[~occupies(9, 7, 9), ~occupies(8, 7, 9)]
Clause[~occupies(8, 9, 9), ~occupies(8, 7, 9)]
Clause[~occupies(8, 8, 9), ~occupies(8, 7, 9)]
Clause[~occupies(9, 9, 9), ~occupies(7, 9, 9)]
Clause[~occupies(9, 8, 9), ~occupies(7, 9, 9)]
Clause[~occupies(9, 7, 9), ~occupies(7, 9, 9)]
Clause[~occupies(8, 9, 9), ~occupies(7, 9, 9)]
Clause[~occupies(8, 8, 9), ~occupies(7, 9, 9)]
Clause[~occupies(8, 7, 9), ~occupies(7, 9, 9)]
Clause[~occupies(9, 9, 9), ~occupies(7, 8, 9)]
Clause[~occupies(9, 8, 9), ~occupies(7, 8, 9)]
Clause[~occupies(9, 7, 9), ~occupies(7, 8, 9)]
Clause[~occupies(8, 9, 9), ~occupies(7, 8, 9)]
Clause[~occupies(8, 8, 9), ~occupies(7, 8, 9)]
Clause[~occupies(8, 7, 9), ~occupies(7, 8, 9)]
Clause[~occupies(7, 9, 9), ~occupies(7, 8, 9)]
Clause[~occupies(9, 9, 9), ~occupies(7, 7, 9)]
Clause[~occupies(9, 8, 9), ~occupies(7, 7, 9)]
Clause[~occupies(9, 7, 9), ~occupies(7, 7, 9)]
Clause[~occupies(8, 9, 9), ~occupies(7, 7, 9)]
Clause[~occupies(8, 8, 9), ~occupies(7, 7, 9)]
Clause[~occupies(8, 7, 9), ~occupies(7, 7, 9)]
Clause[~occupies(7, 9, 9), ~occupies(7, 7, 9)]
Clause[~occupies(7, 8, 9), ~occupies(7, 7, 9)]
Clause[~occupies(9, 9, 8), ~occupies(9, 8, 8)]
Clause[~occupies(9, 9, 8), ~occupies(9, 7, 8)]
Clause[~occupies(9, 8, 8), ~occupies(9, 7, 8)]
Clause[~occupies(9, 9, 8), ~occupies(8, 9, 8)]
Clause[~occupies(9, 8, 8), ~occupies(8, 9, 8)]
Clause[~occupies(9, 7, 8), ~occupies(8, 9, 8)]
Clause[~occupies(9, 9, 8), ~occupies(8, 8, 8)]
Clause[~occupies(9, 8, 8), ~occupies(8, 8, 8)]
Clause[~occupies(9, 7, 8), ~occupies(8, 8, 8)]
Clause[~occupies(8, 9, 8), ~occupies(8, 8, 8)]
Clause[~occupies(9, 9, 8), ~occupies(8, 7, 8)]
Clause[~occupies(9, 8, 8), ~occupies(8, 7, 8)]
Clause[~occupies(9, 7, 8), ~occupies(8, 7, 8)]
Clause[~occupies(8, 9, 8), ~occupies(8, 7, 8)]
Clause[~occupies(8, 8, 8), ~occupies(8, 7, 8)]
Clause[~occupies(9, 9, 8), ~occupies(7, 9, 8)]
Clause[~occupies(9, 8, 8), ~occupies(7, 9, 8)]
Clause[~occupies(9, 7, 8), ~occupies(7, 9, 8)]
Clause[~occupies(8, 9, 8), ~occupies(7, 9, 8)]
Clause[~occupies(8, 8, 8), ~occupies(7, 9, 8)]
Clause[~occupies(8, 7, 8), ~occupies(7, 9, 8)]
Clause[~occupies(9, 9, 8), ~occupies(7, 8, 8)]
Clause[~occupies(9, 8, 8), ~occupies(7, 8, 8)]
Clause[~occupies(9, 7, 8), ~occupies(7, 8, 8)]
Clause[~occupies(8, 9, 8), ~occupies(7, 8, 8)]
Clause[~occupies(8, 8, 8), ~occupies(7, 8, 8)]
Clause[~occupies(8, 7, 8), ~occupies(7, 8, 8)]
Clause[~occupies(7, 9, 8), ~occupies(7, 8, 8)]
Clause[~occupies(9, 9, 8), ~occupies(7, 7, 8)]
Clause[~occupies(9, 8, 8), ~occupies(7, 7, 8)]
Clause[~occupies(9, 7, 8), ~occupies(7, 7, 8)]
Clause[~occupies(8, 9, 8), ~occupies(7, 7, 8)]
Clause[~occupies(8, 8, 8), ~occupies(7, 7, 8)]
Clause[~occupies(8, 7, 8), ~occupies(7, 7, 8)]
Clause[~occupies(7, 9, 8), ~occupies(7, 7, 8)]
Clause[~occupies(7, 8, 8), ~occupies(7, 7, 8)]
Clause[~occupies(9, 9, 7), ~occupies(9, 8, 7)]
Clause[~occupies(9, 9, 7), ~occupies(9, 7, 7)]
Clause[~occupies(9, 8, 7), ~occupies(9, 7, 7)]
Clause[~occupies(9, 9, 7), ~occupies(8, 9, 7)]
Clause[~occupies(9, 8, 7), ~occupies(8, 9, 7)]
Clause[~occupies(9, 7, 7), ~occupies(8, 9, 7)]
Clause[~occupies(9, 9, 7), ~occupies(8, 8, 7)]
Clause[~occupies(9, 8, 7), ~occupies(8, 8, 7)]
Clause[~occupies(9, 7, 7), ~occupies(8, 8, 7)]
Clause[~occupies(8, 9, 7), ~occupies(8, 8, 7)]
Clause[~occupies(9, 9, 7), ~occupies(8, 7, 7)]
Clause[~occupies(9, 8, 7), ~occupies(8, 7, 7)]
Clause[~occupies(9, 7, 7), ~occupies(8, 7, 7)]
